seed,variant,p99_fct_ms,mlu,congestion_probability_pct,route_changes
1,RankGuard full method,588.0,0.69,3.13,42
2,RankGuard full method,650.0,0.709,4.01,50
3,RankGuard full method,712.0,0.728,4.9,58
4,RankGuard full method,774.0,0.747,5.79,66
5,RankGuard full method,836.0,0.766,6.67,74
1,No uncertainty calibration,634.3,0.714,4.32,48
2,No uncertainty calibration,707.6,0.738,5.46,57
3,No uncertainty calibration,781.0,0.761,6.6,66
4,No uncertainty calibration,854.4,0.784,7.74,75
5,No uncertainty calibration,927.7,0.808,8.88,84
1,No counterfactual validation,624.6,0.699,3.8,49
2,No counterfactual validation,713.8,0.725,5.0,61
3,No counterfactual validation,803.0,0.752,6.2,72
4,No counterfactual validation,892.2,0.779,7.4,83
5,No counterfactual validation,981.4,0.805,8.6,95
1,No decision-aware loss,617.9,0.694,3.88,43
2,No decision-aware loss,696.9,0.716,4.89,53
3,No decision-aware loss,776.0,0.738,5.9,62
4,No decision-aware loss,855.1,0.76,6.91,71
5,No decision-aware loss,934.1,0.782,7.92,81
1,No topology-aware expert,609.4,0.699,3.5,41
2,No topology-aware expert,677.7,0.72,4.45,50
3,No topology-aware expert,746.0,0.741,5.4,59
4,No topology-aware expert,814.3,0.762,6.35,68
5,No topology-aware expert,882.6,0.783,7.3,77
1,No churn penalty,573.4,0.681,2.96,62
2,No churn penalty,639.2,0.701,3.78,76
3,No churn penalty,705.0,0.721,4.6,91
4,No churn penalty,770.8,0.741,5.42,106
5,No churn penalty,836.6,0.761,6.24,120
