candidate_id,replayed_mlu,estimated_mlu
1,0.876,0.898
2,0.7219,0.7402
3,0.915,0.9461
4,0.8408,0.8364
5,0.5633,0.548
6,0.9688,0.9649
7,0.8701,0.7933
8,0.8816,0.8152
9,0.5789,0.5303
10,0.7272,0.6861
11,0.6906,0.7066
12,0.9463,0.903
13,0.8162,0.7996
14,0.8985,0.9587
15,0.724,0.7093
16,0.6245,0.6527
17,0.7751,0.7353
18,0.5494,0.542
19,0.9007,0.8566
20,0.8106,0.7957
21,0.8687,0.9069
22,0.6831,0.6142
23,0.9665,0.9875
24,0.9308,0.9421
25,0.8781,0.8509
26,0.6095,0.555
27,0.7347,0.7377
28,0.5401,0.5213
29,0.591,0.5996
30,0.8342,0.8352
31,0.8626,0.9351
32,0.9651,0.9535
33,0.6699,0.6295
34,0.6904,0.6976
35,0.736,0.7451
36,0.6072,0.6583
37,0.5798,0.6105
38,0.7388,0.7537
39,0.6244,0.6802
40,0.8281,0.7755
41,0.7211,0.6948
42,0.903,0.86
43,0.8421,0.8247
44,0.6637,0.6096
45,0.9028,0.9324
46,0.8902,0.8799
47,0.6982,0.6389
48,0.6526,0.613
49,0.8339,0.8479
50,0.5843,0.6152
51,0.612,0.6874
52,0.5234,0.6257
53,0.882,0.901
54,0.8258,0.7821
55,0.8444,0.749
56,0.8791,0.8914
57,0.7311,0.6975
58,0.7816,0.7638
59,0.5843,0.5617
60,0.5727,0.5675
61,0.8275,0.8746
62,0.7367,0.7432
63,0.78,0.7732
64,0.8719,0.8247
65,0.812,0.7387
66,0.7746,0.7539
67,0.7772,0.7749
68,0.6598,0.7291
69,0.5342,0.5388
70,0.7209,0.7612
71,0.6187,0.5998
72,0.7079,0.6598
73,0.9126,0.8674
74,0.6276,0.5999
75,0.5468,0.623
76,0.6494,0.6175
77,0.6551,0.6878
78,0.8245,0.7846
79,0.7762,0.816
80,0.8806,0.8982
81,0.8256,0.8187
82,0.7069,0.7053
83,0.8944,0.8642
84,0.5968,0.6134
85,0.5304,0.5144
86,0.5614,0.517
87,0.8523,0.7948
88,0.7325,0.7396
89,0.5942,0.653
90,0.7505,0.7572
