seed,policy,control_window_after_shift,mlu
1,Reactive,0,0.7088
1,Reactive,1,0.9366
1,Reactive,2,0.9259
1,Reactive,3,0.8999
1,Reactive,4,0.8809
1,Reactive,5,0.8786
1,Reactive,6,0.8631
1,Reactive,7,0.8597
1,Reactive,8,0.8439
1,Reactive,9,0.8301
1,Reactive,10,0.8239
1,Reactive,11,0.8311
1,Reactive,12,0.8263
1,Reactive,13,0.8153
1,Reactive,14,0.8113
1,Reactive,15,0.8137
1,Reactive,16,0.804
1,Reactive,17,0.8025
1,Reactive,18,0.8041
1,Reactive,19,0.8002
1,Reactive,20,0.7995
1,Reactive,21,0.798
1,Reactive,22,0.7977
1,Reactive,23,0.7983
1,Reactive,24,0.7955
1,Reactive,25,0.7955
2,Reactive,0,0.69
2,Reactive,1,0.9336
2,Reactive,2,0.9077
2,Reactive,3,0.8887
2,Reactive,4,0.8775
2,Reactive,5,0.8691
2,Reactive,6,0.866
2,Reactive,7,0.8437
2,Reactive,8,0.8431
2,Reactive,9,0.8336
2,Reactive,10,0.8284
2,Reactive,11,0.8285
2,Reactive,12,0.8219
2,Reactive,13,0.8205
2,Reactive,14,0.812
2,Reactive,15,0.8075
2,Reactive,16,0.8063
2,Reactive,17,0.8052
2,Reactive,18,0.8031
2,Reactive,19,0.7988
2,Reactive,20,0.7997
2,Reactive,21,0.7987
2,Reactive,22,0.8012
2,Reactive,23,0.799
2,Reactive,24,0.7942
2,Reactive,25,0.7943
3,Reactive,0,0.6954
3,Reactive,1,0.9286
3,Reactive,2,0.9175
3,Reactive,3,0.9076
3,Reactive,4,0.8786
3,Reactive,5,0.867
3,Reactive,6,0.8475
3,Reactive,7,0.8502
3,Reactive,8,0.8375
3,Reactive,9,0.8334
3,Reactive,10,0.826
3,Reactive,11,0.8241
3,Reactive,12,0.8134
3,Reactive,13,0.811
3,Reactive,14,0.8191
3,Reactive,15,0.8058
3,Reactive,16,0.804
3,Reactive,17,0.8091
3,Reactive,18,0.8092
3,Reactive,19,0.7986
3,Reactive,20,0.7988
3,Reactive,21,0.7989
3,Reactive,22,0.7999
3,Reactive,23,0.7948
3,Reactive,24,0.7951
3,Reactive,25,0.7956
4,Reactive,0,0.7143
4,Reactive,1,0.9305
4,Reactive,2,0.9137
4,Reactive,3,0.8875
4,Reactive,4,0.8821
4,Reactive,5,0.8696
4,Reactive,6,0.8619
4,Reactive,7,0.848
4,Reactive,8,0.8454
4,Reactive,9,0.8407
4,Reactive,10,0.8305
4,Reactive,11,0.8259
4,Reactive,12,0.8201
4,Reactive,13,0.8159
4,Reactive,14,0.8102
4,Reactive,15,0.8104
4,Reactive,16,0.8066
4,Reactive,17,0.8097
4,Reactive,18,0.8062
4,Reactive,19,0.8018
4,Reactive,20,0.7981
4,Reactive,21,0.7963
4,Reactive,22,0.7991
4,Reactive,23,0.7966
4,Reactive,24,0.796
4,Reactive,25,0.7925
5,Reactive,0,0.7193
5,Reactive,1,0.9382
5,Reactive,2,0.9054
5,Reactive,3,0.8945
5,Reactive,4,0.8857
5,Reactive,5,0.8717
5,Reactive,6,0.8587
5,Reactive,7,0.8505
5,Reactive,8,0.8417
5,Reactive,9,0.8366
5,Reactive,10,0.8362
5,Reactive,11,0.8142
5,Reactive,12,0.819
5,Reactive,13,0.8165
5,Reactive,14,0.8134
5,Reactive,15,0.8084
5,Reactive,16,0.8023
5,Reactive,17,0.8054
5,Reactive,18,0.8065
5,Reactive,19,0.7979
5,Reactive,20,0.8012
5,Reactive,21,0.7977
5,Reactive,22,0.7971
5,Reactive,23,0.7947
5,Reactive,24,0.7949
5,Reactive,25,0.7963
1,HW-only,0,0.7208
1,HW-only,1,0.9159
1,HW-only,2,0.8907
1,HW-only,3,0.8677
1,HW-only,4,0.8626
1,HW-only,5,0.8409
1,HW-only,6,0.8326
1,HW-only,7,0.817
1,HW-only,8,0.8113
1,HW-only,9,0.8011
1,HW-only,10,0.8031
1,HW-only,11,0.7893
1,HW-only,12,0.7927
1,HW-only,13,0.7857
1,HW-only,14,0.7869
1,HW-only,15,0.7828
1,HW-only,16,0.7832
1,HW-only,17,0.7783
1,HW-only,18,0.7714
1,HW-only,19,0.7733
1,HW-only,20,0.77
1,HW-only,21,0.7703
1,HW-only,22,0.7728
1,HW-only,23,0.7705
1,HW-only,24,0.768
1,HW-only,25,0.7671
2,HW-only,0,0.7153
2,HW-only,1,0.8888
2,HW-only,2,0.8751
2,HW-only,3,0.8667
2,HW-only,4,0.8584
2,HW-only,5,0.842
2,HW-only,6,0.8137
2,HW-only,7,0.8203
2,HW-only,8,0.8114
2,HW-only,9,0.8064
2,HW-only,10,0.8058
2,HW-only,11,0.7857
2,HW-only,12,0.7877
2,HW-only,13,0.7883
2,HW-only,14,0.7783
2,HW-only,15,0.7849
2,HW-only,16,0.7794
2,HW-only,17,0.7786
2,HW-only,18,0.7736
2,HW-only,19,0.7751
2,HW-only,20,0.7743
2,HW-only,21,0.7716
2,HW-only,22,0.7707
2,HW-only,23,0.77
2,HW-only,24,0.7678
2,HW-only,25,0.7682
3,HW-only,0,0.7135
3,HW-only,1,0.9035
3,HW-only,2,0.8892
3,HW-only,3,0.856
3,HW-only,4,0.8492
3,HW-only,5,0.8477
3,HW-only,6,0.823
3,HW-only,7,0.814
3,HW-only,8,0.812
3,HW-only,9,0.8084
3,HW-only,10,0.7989
3,HW-only,11,0.7993
3,HW-only,12,0.793
3,HW-only,13,0.7892
3,HW-only,14,0.785
3,HW-only,15,0.7873
3,HW-only,16,0.7779
3,HW-only,17,0.7717
3,HW-only,18,0.7785
3,HW-only,19,0.7725
3,HW-only,20,0.7725
3,HW-only,21,0.7735
3,HW-only,22,0.7678
3,HW-only,23,0.7677
3,HW-only,24,0.7668
3,HW-only,25,0.7674
4,HW-only,0,0.7194
4,HW-only,1,0.9048
4,HW-only,2,0.8831
4,HW-only,3,0.8532
4,HW-only,4,0.8335
4,HW-only,5,0.8383
4,HW-only,6,0.8247
4,HW-only,7,0.8212
4,HW-only,8,0.8146
4,HW-only,9,0.8051
4,HW-only,10,0.8021
4,HW-only,11,0.7949
4,HW-only,12,0.7918
4,HW-only,13,0.7839
4,HW-only,14,0.7827
4,HW-only,15,0.7812
4,HW-only,16,0.7806
4,HW-only,17,0.7756
4,HW-only,18,0.776
4,HW-only,19,0.7729
4,HW-only,20,0.772
4,HW-only,21,0.7727
4,HW-only,22,0.7671
