seed,imputation_method,fidelity_pct,mae,rmse,mape_pct
1,Simple Moving Average,87.36,0.063,0.0852,6.6
2,Simple Moving Average,89.13,0.075,0.0991,7.91
3,Simple Moving Average,90.9,0.087,0.113,9.21
4,Simple Moving Average,92.67,0.099,0.1269,10.51
5,Simple Moving Average,94.44,0.111,0.1408,11.82
1,Linear Interpolation,89.54,0.0508,0.067,5.38
2,Linear Interpolation,91.12,0.0609,0.079,6.51
3,Linear Interpolation,92.7,0.071,0.091,7.64
4,Linear Interpolation,94.28,0.0811,0.103,8.77
5,Linear Interpolation,95.86,0.0912,0.115,9.9
1,Spline Interpolation,91.94,0.0363,0.0508,4.05
2,Spline Interpolation,93.27,0.0451,0.0609,4.94
3,Spline Interpolation,94.6,0.054,0.071,5.83
4,Spline Interpolation,95.93,0.0629,0.0811,6.72
5,Spline Interpolation,97.26,0.0717,0.0912,7.61
1,Exponential Moving Average,94.35,0.0234,0.0326,2.51
2,Exponential Moving Average,95.42,0.0297,0.0408,3.23
3,Exponential Moving Average,96.5,0.036,0.049,3.94
4,Exponential Moving Average,97.58,0.0423,0.0572,4.65
5,Exponential Moving Average,98.65,0.0486,0.0654,5.37
1,Neighbour-aware fusion,95.63,0.0166,0.0281,1.97
2,Neighbour-aware fusion,96.51,0.0223,0.035,2.59
3,Neighbour-aware fusion,97.4,0.028,0.042,3.21
4,Neighbour-aware fusion,98.29,0.0337,0.049,3.83
5,Neighbour-aware fusion,99.17,0.0394,0.0559,4.45
