seed,time_s,link_id,utilization
1,0,e001,0.5869
1,0,e002,0.5954
1,0,e003,0.5212
1,0,e004,0.5333
1,0,e005,0.4901
1,0,e006,0.5297
1,0,e007,0.4285
1,0,e008,0.4029
1,0,e009,0.3855
1,0,e010,0.3833
1,0,e011,0.4044
1,0,e012,0.4143
1,0,e013,0.4268
1,0,e014,0.3878
1,0,e015,0.4521
1,0,e016,0.3518
1,0,e017,0.4652
1,0,e018,0.4586
1,0,e019,0.385
1,0,e020,0.3648
1,0,e021,0.4319
1,0,e022,0.3688
1,0,e023,0.4093
1,0,e024,0.4246
1,1,e001,0.5678
1,1,e002,0.5248
1,1,e003,0.527
1,1,e004,0.5939
1,1,e005,0.5636
1,1,e006,0.5229
1,1,e007,0.4145
1,1,e008,0.4512
1,1,e009,0.3897
1,1,e010,0.4204
1,1,e011,0.3981
1,1,e012,0.442
1,1,e013,0.4274
1,1,e014,0.4268
1,1,e015,0.4457
1,1,e016,0.4423
1,1,e017,0.4171
1,1,e018,0.4611
1,1,e019,0.4376
1,1,e020,0.4089
1,1,e021,0.4469
1,1,e022,0.4029
1,1,e023,0.4068
1,1,e024,0.3732
1,2,e001,0.5638
1,2,e002,0.5423
1,2,e003,0.5595
1,2,e004,0.5262
1,2,e005,0.4832
1,2,e006,0.5089
1,2,e007,0.3657
1,2,e008,0.4453
1,2,e009,0.3693
1,2,e010,0.4054
1,2,e011,0.4118
1,2,e012,0.4173
1,2,e013,0.402
1,2,e014,0.378
1,2,e015,0.3854
1,2,e016,0.3801
1,2,e017,0.4219
1,2,e018,0.4379
1,2,e019,0.4195
1,2,e020,0.4338
1,2,e021,0.3894
1,2,e022,0.4269
1,2,e023,0.3687
1,2,e024,0.4284
1,3,e001,0.5406
1,3,e002,0.5928
1,3,e003,0.4975
1,3,e004,0.5283
1,3,e005,0.4967
1,3,e006,0.4893
1,3,e007,0.3607
1,3,e008,0.4298
1,3,e009,0.3965
1,3,e010,0.4038
1,3,e011,0.4035
1,3,e012,0.4207
1,3,e013,0.4169
1,3,e014,0.3915
1,3,e015,0.3304
1,3,e016,0.4423
1,3,e017,0.4382
1,3,e018,0.3821
1,3,e019,0.3415
1,3,e020,0.4544
1,3,e021,0.4216
1,3,e022,0.4357
1,3,e023,0.3926
1,3,e024,0.3748
1,4,e001,0.5587
1,4,e002,0.5493
1,4,e003,0.5574
1,4,e004,0.5983
1,4,e005,0.5676
1,4,e006,0.529
1,4,e007,0.3865
1,4,e008,0.4621
1,4,e009,0.4653
1,4,e010,0.4379
1,4,e011,0.3971
1,4,e012,0.4309
1,4,e013,0.4706
1,4,e014,0.427
1,4,e015,0.4473
1,4,e016,0.3838
1,4,e017,0.3789
1,4,e018,0.4169
1,4,e019,0.4815
1,4,e020,0.454
1,4,e021,0.4712
1,4,e022,0.3615
1,4,e023,0.4059
1,4,e024,0.4418
1,5,e001,0.4951
1,5,e002,0.5554
1,5,e003,0.5603
1,5,e004,0.5381
1,5,e005,0.5051
1,5,e006,0.4811
1,5,e007,0.3749
1,5,e008,0.4078
1,5,e009,0.3886
1,5,e010,0.4522
1,5,e011,0.3542
1,5,e012,0.4152
1,5,e013,0.3727
1,5,e014,0.3805
1,5,e015,0.3735
1,5,e016,0.4691
1,5,e017,0.3607
1,5,e018,0.3689
1,5,e019,0.4314
1,5,e020,0.4343
1,5,e021,0.4591
1,5,e022,0.4362
1,5,e023,0.3526
1,5,e024,0.4534
1,6,e001,0.5162
1,6,e002,0.4877
1,6,e003,0.4951
1,6,e004,0.5616
1,6,e005,0.5127
1,6,e006,0.5887
1,6,e007,0.4223
1,6,e008,0.3833
1,6,e009,0.4112
1,6,e010,0.4033
1,6,e011,0.4356
1,6,e012,0.3435
1,6,e013,0.3685
1,6,e014,0.447
1,6,e015,0.4066
1,6,e016,0.4035
1,6,e017,0.3502
1,6,e018,0.3606
1,6,e019,0.4269
1,6,e020,0.3915
1,6,e021,0.424
1,6,e022,0.4097
1,6,e023,0.3664
1,6,e024,0.3928
1,7,e001,0.4895
1,7,e002,0.4882
1,7,e003,0.5346
1,7,e004,0.5461
1,7,e005,0.4758
1,7,e006,0.5022
1,7,e007,0.3987
1,7,e008,0.3405
1,7,e009,0.3413
1,7,e010,0.4136
1,7,e011,0.4003
1,7,e012,0.3569
1,7,e013,0.3876
1,7,e014,0.402
1,7,e015,0.3659
1,7,e016,0.3984
1,7,e017,0.4123
1,7,e018,0.3867
1,7,e019,0.426
1,7,e020,0.4117
1,7,e021,0.3732
1,7,e022,0.3851
1,7,e023,0.3202
1,7,e024,0.3862
1,8,e001,0.5542
1,8,e002,0.6178
1,8,e003,0.5483
1,8,e004,0.5941
1,8,e005,0.593
1,8,e006,0.6071
1,8,e007,0.4188
1,8,e008,0.4648
1,8,e009,0.5007
1,8,e010,0.4619
1,8,e011,0.389
1,8,e012,0.5055
1,8,e013,0.4767
1,8,e014,0.4788
1,8,e015,0.4257
1,8,e016,0.4275
1,8,e017,0.4218
1,8,e018,0.4574
1,8,e019,0.4172
1,8,e020,0.4329
1,8,e021,0.4655
1,8,e022,0.4742
1,8,e023,0.4079
1,8,e024,0.3985
1,9,e001,0.5131
1,9,e002,0.5638
1,9,e003,0.6245
1,9,e004,0.5516
1,9,e005,0.6016
1,9,e006,0.6054
1,9,e007,0.4363
1,9,e008,0.4796
1,9,e009,0.3909
1,9,e010,0.4288
1,9,e011,0.4835
1,9,e012,0.4844
1,9,e013,0.4868
1,9,e014,0.4525
1,9,e015,0.4139
1,9,e016,0.4638
1,9,e017,0.4835
1,9,e018,0.3961
1,9,e019,0.436
1,9,e020,0.4308
1,9,e021,0.3973
1,9,e022,0.4609
1,9,e023,0.418
1,9,e024,0.4779
1,10,e001,0.5453
1,10,e002,0.571
1,10,e003,0.5953
1,10,e004,0.5888
